num,send_time,sender,troughput,head,lat_id,long_id
458,2.05847,846930886,0.0984912,270,47.4012,1
459,2.0587,1189641421,0.0986953,180,0,0
460,2.05957,596516649,0.0988685,180,0,0
461,2.15057,1714636915,0.0948909,270,26.7615,1
462,2.15135,1365180540,0.0950621,180,0,0
463,2.1515,1540383426,0.0952614,180,0,0
464,2.15384,1681692777,0.0953632,270,37.4499,1
465,2.15386,304089172,0.0955677,180,4.67368e-310,4.67368e-310
466,2.1545,1303455736,0.0957451,180,0,0
467,2.15474,2044897763,0.09594,180,0,0
468,2.15478,1957747793,0.0961436,270,16.312,1
469,2.1548,424238335,0.096348,180,0,0
470,2.15582,783368690,0.0965077,180,0,0
471,2.15648,1649760492,0.0966834,180,6.20153e-91,1.17119e+166
472,2.15679,1350490027,0.0968749,180,0,0
473,2.15737,1967513926,0.097054,180,0,0
474,2.15759,1102520059,0.0972494,180,0,0
475,2.15801,1025202362,0.0974355,180,0,0
476,2.15836,719885386,0.0976247,180,0,0
477,2.15844,1804289383,0.0978261,270,58.8072,1
478,2.15847,846930886,0.0980298,270,48.0504,1
479,2.1587,1189641421,0.0982245,180,0,0
480,2.15957,596516649,0.0983899,180,0,0
481,2.25057,1714636915,0.0946084,270,27.4129,1
482,2.25135,1365180540,0.0947721,180,0,0
483,2.2515,1540383426,0.0949626,180,0,0
484,2.25384,1681692777,0.0950601,270,38.1397,1
485,2.25386,304089172,0.0952556,180,4.67368e-310,4.67368e-310
486,2.2545,1303455736,0.0954252,180,0,0
487,2.25474,2044897763,0.0956115,180,0,0
488,2.25478,1957747793,0.0958061,270,17.0077,1
489,2.2548,424238335,0.0960014,180,0,0
490,2.25582,783368690,0.0961542,180,0,0
491,2.25648,1649760492,0.0963222,180,6.20153e-91,1.17119e+166
492,2.25679,1350490027,0.0965053,180,0,0
493,2.25737,1967513926,0.0966766,180,0,0
494,2.25759,1102520059,0.0968633,180,0,0
495,2.25801,1025202362,0.0970412,180,0,0
496,2.25836,719885386,0.0972221,180,0,0
497,2.25844,1804289383,0.0974146,270,59.6576,1
498,2.25847,846930886,0.0976093,270,48.7962,1
499,2.2587,1189641421,0.0977954,180,0,0
500,2.25957,596516649,0.0979537,180,0,0
501,2.35057,1714636915,0.09435,270,28.1007,1
502,2.35135,1365180540,0.0945068,180,0,0
503,2.3515,1540383426,0.0946892,180,0,0
504,2.35384,1681692777,0.0947828,270,38.8646,1
505,2.35386,304089172,0.0949701,180,4.67368e-310,4.67368e-310
506,2.3545,1303455736,0.0951325,180,0,0
507,2.35474,2044897763,0.0953109,180,0,0
508,2.35478,1957747793,0.0954972,270,17.5971,1
509,2.3548,424238335,0.0956843,180,0,0
510,2.35582,783368690,0.0958307,180,0,0
511,2.35648,1649760492,0.0959917,180,6.20153e-91,1.17119e+166
512,2.35679,1350490027,0.096167,180,0,0
513,2.35737,1967513926,0.0963311,180,0,0
514,2.35759,1102520059,0.09651,180,0,0
515,2.35801,1025202362,0.0966804,180,0,0
516,2.35836,719885386,0.0968537,180,0,0
517,2.35844,1804289383,0.097038,270,60.3712,1
518,2.35847,846930886,0.0972245,270,49.4078,1
519,2.3587,1189641421,0.0974028,180,0,0
520,2.35957,596516649,0.0975544,180,0,0
521,2.45057,1714636915,0.0941126,270,28.8233,1
522,2.45135,1365180540,0.0942631,180,0,0
523,2.4515,1540383426,0.0944381,180,0,0
524,2.45384,1681692777,0.0945282,270,39.617,1
525,2.45386,304089172,0.0947077,180,4.67368e-310,4.67368e-310
526,2.4545,1303455736,0.0948636,180,0,0
527,2.45474,2044897763,0.0950348,180,0,0
528,2.45478,1957747793,0.0952136,270,18.3735,1
529,2.4548,424238335,0.095393,180,0,0
530,2.45582,783368690,0.0955336,180,0,0
531,2.45648,1649760492,0.0956881,180,6.20153e-91,1.17119e+166
532,2.45679,1350490027,0.0958563,180,0,0
533,2.45737,1967513926,0.0960138,180,0,0
534,2.45759,1102520059,0.0961854,180,0,0
535,2.45801,1025202362,0.096349,180,0,0
536,2.45836,719885386,0.0965153,180,0,0
537,2.45844,1804289383,0.0966921,270,61.3048,1
538,2.45847,846930886,0.096871,270,50.1911,1
539,2.4587,1189641421,0.097042,180,0,0
540,2.45957,596516649,0.0971877,180,0,0
541,2.55057,1714636915,0.0938939,270,29.5749,1
542,2.55135,1365180540,0.0940385,180,0,0
543,2.5515,1540383426,0.0942067,180,0,0
544,2.55384,1681692777,0.0942934,270,40.3917,1
545,2.55386,304089172,0.094466,180,4.67368e-310,4.67368e-310
546,2.5545,1303455736,0.0946158,180,0,0
547,2.55474,2044897763,0.0947803,180,0,0
548,2.55478,1957747793,0.0949521,270,19.1092,1
549,2.5548,424238335,0.0951245,180,0,0
550,2.55582,783368690,0.0952597,180,0,0
551,2.55648,1649760492,0.0954082,180,6.20153e-91,1.17119e+166
552,2.55679,1350490027,0.0955699,180,0,0
553,2.55737,1967513926,0.0957213,180,0,0
